2023-03-11 00:51:35 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 7260, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2023-03-11 00:51:35 *CRITICAL*   Injecting image 'C:\Users\faced\Documents\VS Projects\based\build\based.dll'
2023-03-11 00:51:54 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 7260, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2023-03-11 00:51:54 *CRITICAL*   Injecting image 'C:\Users\faced\Documents\VS Projects\based\build\based.dll'
2023-03-11 00:52:18 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 7260, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2023-03-11 00:52:18 *CRITICAL*   Injecting image 'C:\Users\faced\Documents\VS Projects\based\build\based.dll'
2023-03-11 00:59:03 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 7260, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2023-03-11 00:59:03 *ERROR*      
2023-03-11 00:59:09 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 13248, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2023-03-11 00:59:09 *CRITICAL*   Injecting image 'C:\Users\faced\Documents\VS Projects\based\build\based.dll'
2023-03-11 01:38:54 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 13248, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2023-03-11 01:38:54 *CRITICAL*   Injecting image 'C:\Users\faced\Documents\VS Projects\based\build\based.dll'
2023-03-11 01:42:29 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 13248, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2023-03-11 01:42:29 *CRITICAL*   Injecting image 'C:\Users\faced\Documents\VS Projects\based\build\based.dll'
2023-03-11 01:46:39 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 13248, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2023-03-11 01:46:39 *CRITICAL*   Injecting image 'C:\Users\faced\Documents\VS Projects\based\build\based.dll'
2023-03-11 01:49:29 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 13248, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2023-03-11 01:49:29 *CRITICAL*   Injecting image 'C:\Users\faced\Documents\VS Projects\based\build\based.dll'
2023-03-11 01:56:36 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 13248, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2023-03-11 01:56:36 *CRITICAL*   Injecting image 'C:\Users\faced\Documents\VS Projects\based\build\based.dll'
2023-03-11 01:58:12 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 13248, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2023-03-11 01:58:12 *CRITICAL*   Injecting image 'C:\Users\faced\Documents\VS Projects\based\build\based.dll'
2023-03-11 02:06:13 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 13248, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2023-03-11 02:06:13 *CRITICAL*   Injecting image 'C:\Users\faced\Documents\VS Projects\based\build\based.dll'
2023-03-11 02:06:34 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 13248, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2023-03-11 02:06:34 *CRITICAL*   Injecting image 'C:\Users\faced\Documents\VS Projects\based\build\based.dll'
2023-03-11 02:13:25 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 13248, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2023-03-11 02:13:25 *CRITICAL*   Injecting image 'C:\Users\faced\Documents\VS Projects\based\build\based.dll'

